time,ds0,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ls0,ls1,ls2,ls3,ls4,ls5,ls6,ls7,ds_f0,ds_f1,ds_f2,ds_f3,ds_f4,ds_f5,ds_f6,ds_f7,ls_f0,ls_f1,ls_f2,ls_f3,ls_f4,ls_f5,ls_f6,ls_f7,phil,phir
0.032,0.19989863727329318,0.2189491345358123,0.33008377465231353,0.3589524955541111,0.19258863055007966,0.20965317608595704,0.22446469279690962,0.21974945150457165,0.43355764569241323,0.0,0.0,1.336252709128472,2.1243170871603727,1.500593809767677,1.81140804340972,2.266134268139152,0.03997972745465864,0.04378982690716246,0.0660167549304627,0.07179049911082222,0.03851772611001593,0.04193063521719141,0.04489293855938192,0.04394989030091433,0.08671152913848265,0.0,0.0,0.2672505418256944,0.42486341743207456,0.3001187619535354,0.362281608681944,0.4532268536278304,3.4434405443355467,3.095938065060995
0.064,0.21870421680231197,0.20911509115783103,0.3214162644961569,0.3450994538026714,0.21325359275228206,0.2190033833794913,0.2066192548089608,0.2042504682110284,0.3562418831248164,0.0,0.0,1.3938094155899508,2.117211113204507,1.4692489487036582,1.803200909785747,2.294759120578935,0.08372057081512103,0.08561284513872866,0.1303000078296941,0.1408103898713565,0.08116844466047235,0.08573131189308966,0.08621678952117409,0.08479998394312001,0.15795990576344593,0.0,0.0,0.5460124249436845,0.8483056400729758,0.5939685516942671,0.7229217906390935,0.9121786777436174,3.752545253960074,3.0412118204060623
0.096,0.22846705449230129,0.2161981079618511,0.3159266547609852,0.3268634857519186,0.20891271373193676,0.20160829830762614,0.23495917832055355,0.20391320748252448,0.42769531383366083,0.0,0.0,1.3424111816544821,2.06382857815087,1.4953378331541598,1.8343140813966328,2.237304294733921,0.1294139817135813,0.1288524667310989,0.19348533878189111,0.2061830870217402,0.1229509874068597,0.1260529715546149,0.1332086251852848,0.1255826254396249,0.2434989685301781,0.0,0.0,0.8144946612745809,1.2610713557031499,0.8930361183250991,1.0897846069184198,1.3596395366904015,4.047887749463831,2.9986547463506534
0.128,0.21055517843965008,0.22846152869995914,0.33111426730654026,0.301236806376015,0.1932773539272179,0.2123941318364083,0.21211655309305566,0.20407583905872603,0.3386721506702271,0.0,0.0,1.4278150212049208,2.095726915530041,1.429141865547136,1.808965200966308,2.336963607651557,0.17152501740151133,0.17454477247109074,0.25970819224319913,0.2664304482969432,0.1616064581923033,0.16853179792189657,0.17563193580389594,0.1663977932513701,0.3112333986642235,0.0,0.0,1.1000576655155652,1.6802167388091582,1.1788644914345263,1.4515776471116815,1.8270322582207128,4.361254276104912,2.940671871687061
0.16,0.22024766657473158,0.21687078187188635,0.2899564023168155,0.2811191425798316,0.20514823554625938,0.20297468552754572,0.22482864584472886,0.2159949598736956,0.2470599809662525,0.0,0.0,1.5278485480605557,2.085625972033519,1.502060014168481,1.8415386670415657,2.293006975585831,0.21557455071645762,0.21791892884546799,0.31769947270656224,0.32265427681290954,0.20263610530155515,0.2091267350274057,0.2205976649728417,0.20959678522610922,0.36064539485747404,0.0,0.0,1.4056273751276762,2.097341933215862,1.4792764942682224,1.8198853805199946,2.285633653337879,4.674440701069392,2.8613242096311176
0.192,0.21382730061031577,0.21797692985309972,0.30609665980048095,0.24058375011142027,0.23074973156949344,0.20605360275735274,0.20865825426160892,0.20901149879958741,0.18218853350365308,0.0,0.0,1.5904402318994586,2.0694174894019786,1.4859023399773814,1.856179081013014,2.386622940904168,0.21836028338386212,0.21772448790892546,0.31290204973619573,0.2989805277243714,0.21026832550543792,0.2084068203616848,0.21743637726578155,0.2074491946851124,0.31037157241972196,0.0,0.0,1.4564648796818738,2.086362013664183,1.4763382003101633,1.8288395880406536,2.3097313878908823,4.700744566861899,2.817079180107143
0.224,0.2091831857832602,0.21565265950845705,0.27270238523648127,0.1929832225877312,0.21313960592459152,0.22720430626258212,0.21219368805015773,0.2150559672530583,0.11432953590657831,0.0,0.0,1.7046489230437483,2.0307940855174755,1.50570323754476,1.8985290071356582,2.386346593700171,0.21645607718005175,0.21903200157905064,0.30315927388426067,0.26855728148138336,0.21024552813989977,0.21004700493830303,0.21855126391402094,0.20961029449351837,0.26198910297607436,0.0,0.0,1.5186327811726332,2.0690786081267767,1.4836290580783837,1.847905207510636,2.3280488825151293,4.729401529871767,2.7637805396302317
0.256,0.21198253281990098,0.2124931549879534,0.2921434398376253,0.19489812476248272,0.20820425606016135,0.2144130403685615,0.22394370639959366,0.20523544964478246,0.04548348955115937,0.0,0.0,1.7463848858603663,1.9932563694668113,1.4712089577774916,1.9038863731499793,2.3068745715397405,0.21315917284557173,0.21829101098427114,0.2984026308995887,0.2421642092834962,0.2101038366055447,0.2126079533504901,0.21634816952982897,0.20987474292596991,0.18554673811957406,0.0,0.0,1.5994275220138099,2.0549641663899654,1.47880328300305,1.861819665861305,2.3419629378762936,4.752110123146862,2.686715872313285
0.28800000000000003,0.1921985689893751,0.20757917641402304,0.2886219119001907,0.21156023843321858,0.20719996915221847,0.21920847697045398,0.22243043603797064,0.2114702040721585,0.0,0.0,0.0,1.8314962554701268,1.9922779345790227,1.5049718801130345,1.930145665322429,2.2710585806148367,0.20948785095551675,0.2141145405270839,0.28990415981831874,0.2242288956949369,0.2128883596505448,0.2139708223772992,0.218410946118812,0.21135361592865648,0.11781230798552864,0.0,0.0,1.6801637688668514,2.0342743701997614,1.4939692859162297,1.8860557587325293,2.3287819324689494,4.75527538116803,2.6140769235607606
0.32,0.21253279321471427,0.21617546379219543,0.2804980493283674,0.21644856917818325,0.18935530283024846,0.20733439129674341,0.20758133795771946,0.20302041154114092,0.0,0.0,0.0,1.966572678272868,1.9583551745267977,1.512995266506436,1.9494080944371435,2.2238992888880746,0.20794487628351327,0.2139754769111457,0.28801248922062916,0.21129478101460722,0.20972977310734264,0.2148427635311388,0.21496148454141006,0.20875870626214552,0.06840031179227815,0.0,0.0,1.7679085949093136,2.008820210698417,1.4961563363838206,1.9076296442116447,2.314960395129398,4.74502755271411,2.5698373574575837
